Compound Name,FileName,Variety,Component RT,Peak,tR_best,m/z,Intensity
"Butanal, 3-methyl-",RUSSET BURBANK.csv,RUSSET BURBANK,2.9028,32,2.895,44,2553703.1114815217
"Disulfide, dimethyl",RUSSET BURBANK.csv,RUSSET BURBANK,4.06996666666667,61,4.08,79,714291.8041005415
Hexanal,RUSSET BURBANK.csv,RUSSET BURBANK,5.28858333333333,89,5.289,56,1249895.288910002
"Cyclotrisiloxane, hexamethyl-",RUSSET BURBANK.csv,RUSSET BURBANK,5.8853959465304,96,5.893,207,4303933.41339803
p-Xylene,RUSSET BURBANK.csv,RUSSET BURBANK,7.14385,115,7.167,91,614657.9774833883
Benzaldehyde,RUSSET BURBANK.csv,RUSSET BURBANK,9.32748539665016,165,9.322,85,11298.758754928154
Dimethyl trisulfide,RUSSET BURBANK.csv,RUSSET BURBANK,9.52641666666667,172,9.542,79,301151.7227324973
Phenol,RUSSET BURBANK.csv,RUSSET BURBANK,9.76436666666667,180,9.767,60,190083.14987625385
"Furan, 2-pentyl-",RUSSET BURBANK.csv,RUSSET BURBANK,9.97335,188,9.986,43,261257.8409882203
"Cyclotetrasiloxane, octamethyl-",RUSSET BURBANK.csv,RUSSET BURBANK,10.0923333333333,192,10.089,281,2832149.6330473204
Octanal,RUSSET BURBANK.csv,RUSSET BURBANK,10.1984333333333,195,10.179,59,22512.15454955852
"1-Hexanol, 2-ethyl-",RUSSET BURBANK.csv,RUSSET BURBANK,10.699196413952,209,10.699,92,20291.39271332988
Eucalyptol,RUSSET BURBANK.csv,RUSSET BURBANK,10.7964833333333,212,10.792,154,197839.85004148644
Acetophenone,RUSSET BURBANK.csv,RUSSET BURBANK,11.45885,233,11.452,69,157511.25053907142
Nonanal,RUSSET BURBANK.csv,RUSSET BURBANK,12.0794166666667,253,12.102,57,19288147.2447257
Dodecane,RUSSET BURBANK.csv,RUSSET BURBANK,13.5970666666667,297,13.587,59,91057.4926769966
Decanal,RUSSET BURBANK.csv,RUSSET BURBANK,13.7096,300,13.703,120,26793.28986717708
Tridecane,RUSSET BURBANK.csv,RUSSET BURBANK,15.04075,343,15.031,55,152214.80613358223
Tetradecane,RUSSET BURBANK.csv,RUSSET BURBANK,16.3622666666667,386,16.349,58,272366.0046043363
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",RUSSET BURBANK.csv,RUSSET BURBANK,16.58735,393,16.591,84,74610.06604482338
"Naphthalene, 1,3-dimethyl-",RUSSET BURBANK.csv,RUSSET BURBANK,17.0953666666667,411,17.108,43,1134028.1287135144
"2,4-Di-tert-butylphenol",RUSSET BURBANK.csv,RUSSET BURBANK,17.7931,435,17.783,57,557381.9170660684
1-Nonadecene,RUSSET BURBANK.csv,RUSSET BURBANK,18.6709,463,18.668,135,12961.427175450985
Hexadecane,RUSSET BURBANK.csv,RUSSET BURBANK,18.7512833333333,465,18.726,169,75914.21931923607
Benzophenone,RUSSET BURBANK.csv,RUSSET BURBANK,19.3139666666667,484,19.314,57,171081.12139325557
"2-Propanone, 1-methoxy-",SUNDANCE.csv,SUNDANCE,2.18583333333333,10,2.183,45,15849079.604784189
"Butanal, 3-methyl-",SUNDANCE.csv,SUNDANCE,2.89965,32,2.895,44,3340858.273058773
Hexanal,SUNDANCE.csv,SUNDANCE,5.28587025637822,89,5.289,56,1059158.776676329
"Cyclotrisiloxane, hexamethyl-",SUNDANCE.csv,SUNDANCE,5.8835,96,5.893,207,3821613.5128674624
Benzaldehyde,SUNDANCE.csv,SUNDANCE,9.32185902703024,165,9.322,85,13879.644832878836
Dimethyl trisulfide,SUNDANCE.csv,SUNDANCE,9.52328333333333,172,9.542,79,221656.137709327
Phenol,SUNDANCE.csv,SUNDANCE,9.76697361869027,180,9.767,60,89029.04022194263
"Furan, 2-pentyl-",SUNDANCE.csv,SUNDANCE,9.967,187,9.948,53,431427.72798164166
"Cyclotetrasiloxane, octamethyl-",SUNDANCE.csv,SUNDANCE,10.0891833333333,192,10.089,281,2429239.7645667926
Octanal,SUNDANCE.csv,SUNDANCE,10.1952833333333,195,10.179,59,31655.27215918099
"1-Hexanol, 2-ethyl-",SUNDANCE.csv,SUNDANCE,10.7065333333333,209,10.699,92,17991.943946106847
Eucalyptol,SUNDANCE.csv,SUNDANCE,10.8029833333333,212,10.792,154,217633.9632143458
Acetophenone,SUNDANCE.csv,SUNDANCE,11.4589166666667,233,11.452,69,145393.9940094905
Nonanal,SUNDANCE.csv,SUNDANCE,12.0794833333333,253,12.102,57,13552678.893455956
Benzoic acid,SUNDANCE.csv,SUNDANCE,13.2402333333333,286,13.243,78,135753.56710283516
Dodecane,SUNDANCE.csv,SUNDANCE,13.5939166666667,297,13.587,59,106427.45241219584
Decanal,SUNDANCE.csv,SUNDANCE,13.70645,300,13.703,120,20996.58242862444
Tridecane,SUNDANCE.csv,SUNDANCE,15.0376166666667,343,15.031,55,135988.32719713915
Tetradecane,SUNDANCE.csv,SUNDANCE,16.3591166666667,386,16.349,58,312264.0855620256
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",SUNDANCE.csv,SUNDANCE,16.5874166666667,393,16.591,84,87586.31951855677
1-Nonadecene,SUNDANCE.csv,SUNDANCE,18.6709666666667,463,18.668,135,13244.411636526553
Hexadecane,SUNDANCE.csv,SUNDANCE,18.7481333333333,465,18.726,169,86054.92781979908
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",SUNDANCE.csv,SUNDANCE,18.8253,468,18.822,65,192039.298443698
Benzophenone,SUNDANCE.csv,SUNDANCE,19.3108166666667,484,19.314,57,197827.62473174132
Eicosane,SUNDANCE.csv,SUNDANCE,22.7962666666667,607,22.808,57,954275.3191831833
Isopropyl palmitate,SUNDANCE.csv,SUNDANCE,23.02455,615,23.031,77,416382.217945942
"Butanal, 3-methyl-",ALTURAS.csv,ALTURAS,2.89,32,2.895,44,1146548.5521852446
Hexanal,ALTURAS.csv,ALTURAS,5.26537091332493,88,5.263,67,50633.268086495125
"Cyclotrisiloxane, hexamethyl-",ALTURAS.csv,ALTURAS,5.86741666666667,96,5.893,207,16214962.580938537
Styrene,ALTURAS.csv,ALTURAS,7.67127954957507,125,7.703,77,490621.3461966927
Heptanal,ALTURAS.csv,ALTURAS,7.92201666666667,130,7.913,57,83795.46174711816
Benzaldehyde,ALTURAS.csv,ALTURAS,9.31634427188598,165,9.322,85,16639.394618570535
"5-Hepten-2-one, 6-methyl-",ALTURAS.csv,ALTURAS,9.8641,184,9.883,94,1816388.4545324529
"Cyclotetrasiloxane, octamethyl-",ALTURAS.csv,ALTURAS,10.08595,192,10.089,281,13068075.036568835
Octanal,ALTURAS.csv,ALTURAS,10.18885,195,10.179,59,100774.26922097582
"1-Hexanol, 2-ethyl-",ALTURAS.csv,ALTURAS,10.7000833333333,209,10.699,92,25678.341552422025
Nonanal,ALTURAS.csv,ALTURAS,12.0762666666667,253,12.102,57,17715130.905323684
Tetradecane,ALTURAS.csv,ALTURAS,12.6775333333333,268,12.671,70,1827852.9453911388
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",ALTURAS.csv,ALTURAS,13.4235,292,13.427,83,308213.0402677555
Decanal,ALTURAS.csv,ALTURAS,13.70645,300,13.703,120,40870.661520132366
"Nonanoic acid, 9-oxo-, methyl ester",ALTURAS.csv,ALTURAS,13.9347333333333,307,13.941,70,820221.114915415
n-Tridecan-1-ol,ALTURAS.csv,ALTURAS,15.0343833333333,343,15.031,55,416744.6112701772
Pentadecane,ALTURAS.csv,ALTURAS,15.6485166666667,364,15.665,71,5011354.041313884
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",ALTURAS.csv,ALTURAS,16.5874,393,16.591,84,80173.38665537328
"Nonanoic acid, 9-oxo-, methyl ester",ALTURAS.csv,ALTURAS,16.8253333333333,401,16.825,105,9656.607934923231
1-Tetradecanol,ALTURAS.csv,ALTURAS,17.2915666666667,419,17.295,104,84377.86422798045
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",ALTURAS.csv,ALTURAS,17.6324,431,17.632,57,7357847.593621798
Benzophenone,ALTURAS.csv,ALTURAS,18.2047333333333,448,18.208,103,3357859.765751041
Hexadecane,ALTURAS.csv,ALTURAS,18.7513333333333,465,18.726,169,80720.28600186408
Benzophenone,ALTURAS.csv,ALTURAS,19.3108166666667,484,19.314,57,68095.52249647713
"Heptadecane, 3-methyl-",ALTURAS.csv,ALTURAS,20.57445,527,20.567,85,552430.792366039
Octadecane,ALTURAS.csv,ALTURAS,20.8670333333333,537,20.855,41,744109.1932951622
"Carbonic acid, bis(2-ethylhexyl) ester",ALTURAS.csv,ALTURAS,20.9763666666667,542,20.983,105,466342.4899873557
Isopropyl myristate,ALTURAS.csv,ALTURAS,21.1242666666667,546,21.114,99,1124214.8145079713
Nonadecane,ALTURAS.csv,ALTURAS,21.8573666666667,574,21.846,139,56252.58333310396
"Butanal, 3-methyl-",BARAKA.csv,BARAKA,2.89933333333333,32,2.895,44,4109835.659018261
"Disulfide, dimethyl",BARAKA.csv,BARAKA,4.06971666666667,61,4.08,79,832941.7710410402
"Cyclotrisiloxane, hexamethyl-",BARAKA.csv,BARAKA,5.8864,96,5.893,207,7505976.750929401
Heptanal,BARAKA.csv,BARAKA,7.93778333333333,131,7.933,56,29157.54605981808
Benzaldehyde,BARAKA.csv,BARAKA,9.3236,165,9.322,85,11165.233553250006
Dimethyl trisulfide,BARAKA.csv,BARAKA,9.52616666666667,172,9.542,79,252857.45098948
Phenol,BARAKA.csv,BARAKA,9.77696666666667,180,9.767,60,31349.184176604344
"Furan, 2-pentyl-",BARAKA.csv,BARAKA,9.9731,188,9.986,43,271746.9960837281
"Cyclotetrasiloxane, octamethyl-",BARAKA.csv,BARAKA,10.0920833333333,192,10.089,281,4919471.565336509
Octanal,BARAKA.csv,BARAKA,10.1949666666667,195,10.179,59,38948.42645589943
"1-Hexanol, 2-ethyl-",BARAKA.csv,BARAKA,10.6997833333333,209,10.699,92,11465.571948957328
Nonanal,BARAKA.csv,BARAKA,12.0791666666667,253,12.102,57,18332423.9354097
Decanal,BARAKA.csv,BARAKA,13.7061333333333,300,13.703,120,21913.111608197312
Hexadecane,BARAKA.csv,BARAKA,18.7510333333333,465,18.726,169,16237.699405183675
Benzophenone,BARAKA.csv,BARAKA,19.3137166666667,484,19.314,57,64550.57252020072
"Disulfide, dimethyl",ESCORT.csv,ESCORT,4.06998333333333,61,4.08,79,924589.32316364
Hexanal,ESCORT.csv,ESCORT,5.28538333333333,89,5.289,56,1398127.01009505
"Cyclotrisiloxane, hexamethyl-",ESCORT.csv,ESCORT,5.88345,96,5.893,207,7666393.605762381
Benzaldehyde,ESCORT.csv,ESCORT,9.32892016378202,165,9.322,85,13909.697059642614
"Cyclotetrasiloxane, octamethyl-",ESCORT.csv,ESCORT,10.09235,192,10.089,281,5113101.490052965
Octanal,ESCORT.csv,ESCORT,10.1952333333333,195,10.179,59,36007.81572002378
"1-Hexanol, 2-ethyl-",ESCORT.csv,ESCORT,10.7000093678896,209,10.699,92,12757.19773159762
Nonanal,ESCORT.csv,ESCORT,12.079641957215,253,12.102,57,12860373.188712984
Decanal,ESCORT.csv,ESCORT,13.7064,300,13.703,120,28619.90281544213
Hexadecane,ESCORT.csv,ESCORT,18.7513,465,18.726,169,23144.02250025449
Benzophenone,ESCORT.csv,ESCORT,19.3139833333333,484,19.314,57,70885.25120963693
"2-Propanone, 1-methoxy-",FRISIA.csv,FRISIA,2.19472634501156,10,2.183,45,14563711.03422402
"Butanal, 3-methyl-",FRISIA.csv,FRISIA,2.8998,32,2.895,44,3133959.6653253976
Pentanal,FRISIA.csv,FRISIA,3.31458333333333,46,3.315,44,1283015.442795545
Hexanal,FRISIA.csv,FRISIA,5.28238333333333,89,5.289,56,1886303.6308029492
"Cyclotrisiloxane, hexamethyl-",FRISIA.csv,FRISIA,5.88686666666667,96,5.893,207,4697822.755832622
Furfural,FRISIA.csv,FRISIA,6.2084,98,6.221,39,58968.22398349181
Styrene,FRISIA.csv,FRISIA,7.68924363626745,125,7.703,77,308108.21775740146
Benzaldehyde,FRISIA.csv,FRISIA,9.32308370222696,165,9.322,85,22097.07036542126
"Furan, 2-pentyl-",FRISIA.csv,FRISIA,9.97358333333333,188,9.986,43,293180.86825473764
"Cyclotetrasiloxane, octamethyl-",FRISIA.csv,FRISIA,10.09255,192,10.089,281,3026396.57258724
"1-Hexanol, 2-ethyl-",FRISIA.csv,FRISIA,10.7034666666667,209,10.699,92,27030.550636830685
Acetophenone,FRISIA.csv,FRISIA,11.4622833333333,233,11.452,69,208436.26167025007
Nonanal,FRISIA.csv,FRISIA,12.08285,253,12.102,57,21098957.537776116
"Ethanol, 1-(2-butoxyethoxy)-",FRISIA.csv,FRISIA,13.4751,293,13.472,109,73608.31908957653
Dodecane,FRISIA.csv,FRISIA,13.5972833333333,297,13.587,59,342501.99218804215
Decanal,FRISIA.csv,FRISIA,13.7066,300,13.703,120,221184.8853660548
"Ethanol, 2-phenoxy-",FRISIA.csv,FRISIA,13.98955,308,13.989,57,1011484.0448015044
"2-Propanol, 1-(2-butoxy-1-methylethoxy)-",FRISIA.csv,FRISIA,14.25965,317,14.247,88,3524733.5550550167
"2-Propanol, 1-(2-butoxy-1-methylethoxy)-",FRISIA.csv,FRISIA,14.3271666666667,319,14.317,59,12821460.683644269
Methyl 8-oxooctanoate,FRISIA.csv,FRISIA,15.49755,358,15.494,87,737985.9421028435
Triacetin,FRISIA.csv,FRISIA,15.6711833333333,364,15.665,71,233301.24541647863
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",FRISIA.csv,FRISIA,16.6100666666667,394,16.623,109,11995301.080504635
"Nonanoic acid, 9-oxo-, methyl ester",FRISIA.csv,FRISIA,16.8319333333333,401,16.825,105,81716.03643641375
n-Tridecan-1-ol,FRISIA.csv,FRISIA,17.2949333333333,419,17.295,104,138137.20753173006
n-Tridecan-1-ol,FRISIA.csv,FRISIA,18.4942666666667,458,18.497,105,1108313.8542135064
1-Octadecanol,FRISIA.csv,FRISIA,18.6743333333333,463,18.668,135,17482.761645766583
Hexadecane,FRISIA.csv,FRISIA,18.7547166666667,466,18.777,57,17985442.090137385
"Dodecanoic acid, 1-methylethyl ester",FRISIA.csv,FRISIA,19.0505166666667,476,19.047,167,7413.659120169714
Benzophenone,FRISIA.csv,FRISIA,19.3174,484,19.314,57,528171.6831664516
Eicosane,FRISIA.csv,FRISIA,22.7996333333333,607,22.808,57,1091184.4778336363
"Butanal, 3-methyl-",MARILYN.csv,MARILYN,2.90285,32,2.895,44,2975376.227606703
"Furan, 2-ethyl-",MARILYN.csv,MARILYN,3.37871666666667,47,3.38,81,1197344.1601830446
"Disulfide, dimethyl",MARILYN.csv,MARILYN,4.07323333333333,61,4.08,79,582245.2270612542
Hexanal,MARILYN.csv,MARILYN,5.28541666666667,89,5.289,56,12381992.394837966
"Cyclotrisiloxane, hexamethyl-",MARILYN.csv,MARILYN,5.88548090399738,96,5.893,207,11853477.065985609
Styrene,MARILYN.csv,MARILYN,7.68408333333333,125,7.703,77,514743.7516723195
Benzaldehyde,MARILYN.csv,MARILYN,9.3216838425512,165,9.322,85,33568.76554010118
"Furan, 2-pentyl-",MARILYN.csv,MARILYN,9.9702,188,9.986,43,646708.494877517
"Cyclotetrasiloxane, octamethyl-",MARILYN.csv,MARILYN,10.0956,192,10.089,281,7286327.954435808
"1-Hexanol, 2-ethyl-",MARILYN.csv,MARILYN,10.7065166666667,209,10.699,92,45185.129109039735
Nonanal,MARILYN.csv,MARILYN,12.0826833333333,253,12.102,57,21252554.62376773
"Ethanol, 1-(2-butoxyethoxy)-",MARILYN.csv,MARILYN,13.47815,293,13.472,109,84470.12427885181
Dodecane,MARILYN.csv,MARILYN,13.5971166666667,297,13.587,59,325246.5568268775
Decanal,MARILYN.csv,MARILYN,13.70965,300,13.703,120,247043.06355458623
"2-Propanol, 1-(2-butoxy-1-methylethoxy)-",MARILYN.csv,MARILYN,14.2626833333333,317,14.247,88,4024718.0348284175
"2-Propanol, 1-(2-butoxy-1-methylethoxy)-",MARILYN.csv,MARILYN,14.3302166666667,320,14.343,71,688521.7886567547
Methyl 8-oxooctanoate,MARILYN.csv,MARILYN,15.5006,358,15.494,87,545434.6561907628
Triacetin,MARILYN.csv,MARILYN,15.6742333333333,364,15.665,71,250814.2652619232
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",MARILYN.csv,MARILYN,16.6131166666667,394,16.623,109,12933163.009279056
"Nonanoic acid, 9-oxo-, methyl ester",MARILYN.csv,MARILYN,16.8317666666667,401,16.825,105,85063.50048310489
n-Tridecan-1-ol,MARILYN.csv,MARILYN,17.2979833333333,419,17.295,104,144775.9646998434
Eicosyl octyl ether,MARILYN.csv,MARILYN,17.68705,433,17.713,57,5017887.90643831
n-Tridecan-1-ol,MARILYN.csv,MARILYN,18.4941,458,18.497,105,1032980.4691911506
1-Octadecanol,MARILYN.csv,MARILYN,18.67415,463,18.668,135,18915.71198469118
Hexadecane,MARILYN.csv,MARILYN,18.75455,466,18.777,57,19277091.420844287
"Dodecanoic acid, 1-methylethyl ester",MARILYN.csv,MARILYN,19.05035,476,19.047,167,8348.759273146476
Benzophenone,MARILYN.csv,MARILYN,19.3172333333333,484,19.314,57,577439.0315654239
Heptadecane,MARILYN.csv,MARILYN,19.8477666666667,504,19.865,57,9850003.7745663
"2-Propanone, 1-methoxy-",ORIANA.csv,ORIANA,2.18895,10,2.183,45,15906818.10485438
"Butanal, 3-methyl-",ORIANA.csv,ORIANA,2.90276666666667,32,2.895,44,4878545.57773314
Hexanal,ORIANA.csv,ORIANA,5.29123761276764,89,5.289,56,1228752.34933676
"Cyclotrisiloxane, hexamethyl-",ORIANA.csv,ORIANA,5.8866,96,5.893,207,3805501.70472839
Benzaldehyde,ORIANA.csv,ORIANA,9.33120891124663,165,9.322,85,3129.2938343315354
Dimethyl trisulfide,ORIANA.csv,ORIANA,9.5296,172,9.542,79,116460.69545609388
"Furan, 2-pentyl-",ORIANA.csv,ORIANA,9.97653333333333,188,9.986,43,150118.3941017243
"Cyclotetrasiloxane, octamethyl-",ORIANA.csv,ORIANA,10.0955,192,10.089,281,2767525.7989019724
Octanal,ORIANA.csv,ORIANA,10.2016166666667,196,10.218,43,1310821.9105648932
"1-Hexanol, 2-ethyl-",ORIANA.csv,ORIANA,10.7032166666667,209,10.699,92,11010.206222978042
Nonanal,ORIANA.csv,ORIANA,12.0826,253,12.102,57,11083412.79842807
Dodecane,ORIANA.csv,ORIANA,13.60025,297,13.587,59,58625.98629862065
Decanal,ORIANA.csv,ORIANA,13.7127833333333,300,13.703,120,17171.09330999815
Tridecane,ORIANA.csv,ORIANA,15.0407166666667,343,15.031,55,149802.54874766478
Tetradecane,ORIANA.csv,ORIANA,16.3622333333333,386,16.349,58,261358.36672841167
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",ORIANA.csv,ORIANA,16.5905166666667,393,16.591,84,40014.703676509474
1-Nonadecene,ORIANA.csv,ORIANA,18.67085,463,18.668,135,11007.923003551105
Hexadecane,ORIANA.csv,ORIANA,18.7512333333333,465,18.726,169,81359.24105949665
Benzophenone,ORIANA.csv,ORIANA,19.31715,484,19.314,57,134772.115260134
"2-Propanone, 1-methoxy-",SAGITTA.csv,SAGITTA,2.18888333333333,10,2.183,45,15789596.366662825
"Butanal, 3-methyl-",SAGITTA.csv,SAGITTA,2.89948333333333,32,2.895,44,3244203.1769012604
Hexanal,SAGITTA.csv,SAGITTA,5.28452296022289,89,5.289,56,1743419.182767206
"Cyclotrisiloxane, hexamethyl-",SAGITTA.csv,SAGITTA,5.88333333333333,96,5.893,207,4933510.078426686
Styrene,SAGITTA.csv,SAGITTA,7.68716254993194,125,7.703,77,392785.1107391352
Heptanal,SAGITTA.csv,SAGITTA,7.93793333333333,131,7.933,56,23007.486527268386
Benzaldehyde,SAGITTA.csv,SAGITTA,9.32171998073253,165,9.322,85,29277.84461801107
"Furan, 2-pentyl-",SAGITTA.csv,SAGITTA,9.97005,188,9.986,43,421458.58849942486
"Cyclotetrasiloxane, octamethyl-",SAGITTA.csv,SAGITTA,10.0942986262943,192,10.089,281,3626158.600242241
"1-Hexanol, 2-ethyl-",SAGITTA.csv,SAGITTA,10.70315,209,10.699,92,34578.40348737253
Nonanal,SAGITTA.csv,SAGITTA,12.0825333333333,253,12.102,57,22812952.032224327
"Ethanol, 1-(2-butoxyethoxy)-",SAGITTA.csv,SAGITTA,13.478,293,13.472,109,74305.31940448236
Dodecane,SAGITTA.csv,SAGITTA,13.5969666666667,297,13.587,59,373583.84381142986
Decanal,SAGITTA.csv,SAGITTA,13.7095,300,13.703,120,243342.0813468629
"Ethanol, 2-phenoxy-",SAGITTA.csv,SAGITTA,13.9860166666667,308,13.989,57,1186504.4033326504
"2-Propanol, 1-(2-butoxy-1-methylethoxy)-",SAGITTA.csv,SAGITTA,14.26255,317,14.247,88,3876331.947199064
"2-Propanol, 1-(2-butoxy-1-methylethoxy)-",SAGITTA.csv,SAGITTA,14.3300666666667,320,14.343,71,619084.7284258666
Methyl 8-oxooctanoate,SAGITTA.csv,SAGITTA,15.50045,358,15.494,87,744963.1520498596
Triacetin,SAGITTA.csv,SAGITTA,15.6740833333333,364,15.665,71,260262.8047930397
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",SAGITTA.csv,SAGITTA,16.6129666666667,394,16.623,109,10958330.159428466
"Nonanoic acid, 9-oxo-, methyl ester",SAGITTA.csv,SAGITTA,16.8316166666667,401,16.825,105,95351.47781973734
n-Tridecan-1-ol,SAGITTA.csv,SAGITTA,17.2978333333333,419,17.295,104,165236.1188992351
"1-Decanol, 2-hexyl-",SAGITTA.csv,SAGITTA,17.6836833333333,432,17.658,71,2112440.6666486543
"2,4-Di-tert-butylphenol",SAGITTA.csv,SAGITTA,17.793,435,17.783,57,3152713.227542935
1-Nonadecene,SAGITTA.csv,SAGITTA,18.6740166666667,463,18.668,135,20241.28577940695
Hexadecane,SAGITTA.csv,SAGITTA,18.7576166666667,466,18.777,57,20762566.90856511
"Dodecanoic acid, 1-methylethyl ester",SAGITTA.csv,SAGITTA,19.0502,476,19.047,167,17072.01223015894
Benzophenone,SAGITTA.csv,SAGITTA,19.3203,484,19.314,57,576590.0964496112
"2-Propanone, 1-methoxy-",SUPERIOR.csv,SUPERIOR,2.19218333333333,10,2.183,45,15171193.053389778
"Butanal, 3-methyl-",SUPERIOR.csv,SUPERIOR,2.89956666666667,32,2.895,44,2962706.655814306
Pentanal,SUPERIOR.csv,SUPERIOR,3.31433333333333,46,3.315,44,2506661.408266104
"Butanenitrile, 2-methyl-",SUPERIOR.csv,SUPERIOR,3.69375,53,3.699,56,46062.251872779205
"Cyclotrisiloxane, hexamethyl-",SUPERIOR.csv,SUPERIOR,5.8834,96,5.893,207,8174062.86207873
Benzaldehyde,SUPERIOR.csv,SUPERIOR,9.32551770994083,165,9.322,85,23293.08924390663
Phenol,SUPERIOR.csv,SUPERIOR,9.76767320821925,180,9.767,60,66337.07167669803
"Cyclotetrasiloxane, octamethyl-",SUPERIOR.csv,SUPERIOR,10.0923,192,10.089,281,4901455.703948927
Octanal,SUPERIOR.csv,SUPERIOR,10.1952,195,10.179,59,37310.96454609975
"1-Hexanol, 2-ethyl-",SUPERIOR.csv,SUPERIOR,10.7032166666667,209,10.699,92,13818.050874117118
Nonanal,SUPERIOR.csv,SUPERIOR,12.0794,253,12.102,57,14265156.912752865
Decanal,SUPERIOR.csv,SUPERIOR,13.7095833333333,300,13.703,120,33859.40259961337
"Nonanoic acid, 9-oxo-, methyl ester",SUPERIOR.csv,SUPERIOR,16.8284666666667,401,16.825,105,16115.828639495689
Hexadecane,SUPERIOR.csv,SUPERIOR,18.75125,465,18.726,169,24364.78303614972
Benzophenone,SUPERIOR.csv,SUPERIOR,19.3107333333333,484,19.314,57,102297.9338592812
Eicosane,SUPERIOR.csv,SUPERIOR,22.7993833333333,607,22.808,57,2248957.206663075
"2-Propanone, 1-methoxy-",NICOLA.csv,NICOLA,2.18896666666667,10,2.183,45,15356995.789133864
"Butanal, 3-methyl-",NICOLA.csv,NICOLA,2.89955,32,2.895,44,4624744.474243923
"Disulfide, dimethyl",NICOLA.csv,NICOLA,4.06995,61,4.08,79,1087119.095606323
Hexanal,NICOLA.csv,NICOLA,5.28535,89,5.289,56,1644541.942022955
"Cyclotrisiloxane, hexamethyl-",NICOLA.csv,NICOLA,5.8860108650505,96,5.893,207,8914599.03369439
Styrene,NICOLA.csv,NICOLA,7.68699673661954,125,7.703,77,397624.8427758742
Heptanal,NICOLA.csv,NICOLA,7.93801666666667,131,7.933,56,29127.83638830377
Benzaldehyde,NICOLA.csv,NICOLA,9.3174,165,9.322,85,26822.896016777944
"Furan, 2-pentyl-",NICOLA.csv,NICOLA,9.97011666666667,188,9.986,43,404696.6803311049
"Cyclotetrasiloxane, octamethyl-",NICOLA.csv,NICOLA,10.0955166666667,192,10.089,281,5404716.021029804
"1-Hexanol, 2-ethyl-",NICOLA.csv,NICOLA,10.7032166666667,209,10.699,92,35249.95314230353
Nonanal,NICOLA.csv,NICOLA,12.0826,253,12.102,57,24111125.782696724
"Ethanol, 1-(2-butoxyethoxy)-",NICOLA.csv,NICOLA,13.4780666666667,293,13.472,109,88233.09305814434
Dodecane,NICOLA.csv,NICOLA,13.5970333333333,297,13.587,59,387581.1260842088
Decanal,NICOLA.csv,NICOLA,13.7095833333333,300,13.703,120,272178.61549872794
"Ethanol, 2-phenoxy-",NICOLA.csv,NICOLA,13.9861,308,13.989,57,1252152.5213212797
"2-Propanol, 1-(2-butoxy-1-methylethoxy)-",NICOLA.csv,NICOLA,14.2626166666667,317,14.247,88,4180500.755124504
"2-Propanol, 1-(2-butoxy-1-methylethoxy)-",NICOLA.csv,NICOLA,14.3301333333333,320,14.343,71,709316.9595707424
Methyl 8-oxooctanoate,NICOLA.csv,NICOLA,15.4973166666667,358,15.494,87,665187.7175899682
Triacetin,NICOLA.csv,NICOLA,15.67415,364,15.665,71,264005.3762117336
Tetradecane,NICOLA.csv,NICOLA,16.36225,386,16.349,58,1051432.9172814344
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",NICOLA.csv,NICOLA,16.61625,394,16.623,109,15000369.53054594
"Nonanoic acid, 9-oxo-, methyl ester",NICOLA.csv,NICOLA,16.8316833333333,401,16.825,105,93637.2025932362
n-Tridecan-1-ol,NICOLA.csv,NICOLA,17.2979166666667,419,17.295,104,167261.90672908063
"1-Decanol, 2-hexyl-",NICOLA.csv,NICOLA,17.7641333333333,434,17.748,168,183023.003621412
n-Tridecan-1-ol,NICOLA.csv,NICOLA,18.4908,458,18.497,105,1072876.33245079
1-Octadecanol,NICOLA.csv,NICOLA,18.6740833333333,463,18.668,135,19438.5500117045
Hexadecane,NICOLA.csv,NICOLA,18.7544666666667,466,18.777,57,20227153.386823878
"Dodecanoic acid, 1-methylethyl ester",NICOLA.csv,NICOLA,19.0502833333333,476,19.047,167,17013.179554629387
Benzophenone,NICOLA.csv,NICOLA,19.31715,484,19.314,57,594158.3580192846
Eicosane,NICOLA.csv,NICOLA,22.7961666666667,607,22.808,57,874435.3824832521
"1,3,5-Trifluorobenzene",ALTHEA.csv,ALTHEA,2.62626666666667,26,2.625,132,2366575.975801172
"Butanal, 3-methyl-",ALTHEA.csv,ALTHEA,2.89635,32,2.895,44,2008192.5939211932
Pentanal,ALTHEA.csv,ALTHEA,3.31113333333333,46,3.315,44,2011933.825099012
"Cyclotrisiloxane, hexamethyl-",ALTHEA.csv,ALTHEA,5.89628333333333,96,5.893,207,9237465.627415849
"2-Propanol, 1-butoxy-",ALTHEA.csv,ALTHEA,8.88978333333333,152,8.912,72,41279.04274224424
