Compound Name,FileName,Variety,Component RT,Peak,tR_best,m/z,Intensity
"2-Propanone, 1-methoxy-",AVARNA.csv,AVARNA,2.18576666666667,10,2.183,45,15137864.46726396
"Butanal, 3-methyl-",AVARNA.csv,AVARNA,2.90278333333333,32,2.895,44,1843336.4537973232
"Disulfide, dimethyl",AVARNA.csv,AVARNA,4.06675,61,4.08,79,692243.1314318338
Hexanal,AVARNA.csv,AVARNA,5.28215,89,5.289,56,1264123.0824766853
"Cyclotrisiloxane, hexamethyl-",AVARNA.csv,AVARNA,5.88341666666667,96,5.893,207,4123653.803943305
Heptanal,AVARNA.csv,AVARNA,7.93803333333333,131,7.933,56,10423.223595326392
Benzaldehyde,AVARNA.csv,AVARNA,9.31935031267744,165,9.322,85,2784.445186055279
"Cyclotetrasiloxane, octamethyl-",AVARNA.csv,AVARNA,10.0891,192,10.089,281,2754299.0350315915
Octanal,AVARNA.csv,AVARNA,10.1952166666667,195,10.179,59,20684.0840357171
"1-Hexanol, 2-ethyl-",AVARNA.csv,AVARNA,10.6968166666667,209,10.699,92,10738.92116899958
Acetophenone,AVARNA.csv,AVARNA,11.4524166666667,233,11.452,69,27058.693558270763
Nonanal,AVARNA.csv,AVARNA,12.0762,253,12.102,57,8591704.331739502
Dodecane,AVARNA.csv,AVARNA,13.59385,297,13.587,59,41922.672769380864
Decanal,AVARNA.csv,AVARNA,13.7063833333333,300,13.703,120,15791.460939795215
Tridecane,AVARNA.csv,AVARNA,15.0375333333333,343,15.031,55,73757.80910146779
Tetradecane,AVARNA.csv,AVARNA,16.3622666666667,386,16.349,58,126812.92317488397
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",AVARNA.csv,AVARNA,16.5873333333333,393,16.591,84,43471.52090921415
"Carbonic acid, 2-ethylhexyl octyl ester",AVARNA.csv,AVARNA,17.6934166666667,433,17.713,57,1314623.665528196
E-15-Heptadecenal,AVARNA.csv,AVARNA,18.6708833333333,463,18.668,135,8131.314354140104
Hexadecane,AVARNA.csv,AVARNA,18.7512666666667,465,18.726,169,45181.66431594598
Benzophenone,AVARNA.csv,AVARNA,19.3126992338825,484,19.314,57,87810.48690599849
"2-Propanone, 1-methoxy-",CAMEL.csv,CAMEL,2.18964424861626,10,2.183,45,14246086.94444507
"Propanal, 2-methyl-",CAMEL.csv,CAMEL,2.35948333333333,17,2.36,72,2289840.02246586
"Butanal, 3-methyl-",CAMEL.csv,CAMEL,2.89965,32,2.895,44,8011344.422117991
"Disulfide, dimethyl",CAMEL.csv,CAMEL,4.07005,61,4.08,79,1238678.4879415834
Hexanal,CAMEL.csv,CAMEL,5.28545,89,5.289,56,2097939.6666144137
"Cyclotrisiloxane, hexamethyl-",CAMEL.csv,CAMEL,5.88671666666667,96,5.893,207,8511508.227123924
