Compound Name,FileName,Variety,Component RT,Peak,tR_best,m/z,Intensity,norm_name,is_aroma
Propanal,CAMEL.csv,CAMEL,2.35948333333333,17,2.36,72,2289840.02246586,propanal2methyl,True
"Butanal, 3-methyl-",CAMEL.csv,CAMEL,2.89965,32,2.895,44,8011344.422117991,butanal3methyl,True
Hexanal,CAMEL.csv,CAMEL,5.28545,89,5.289,56,2097939.6666144137,hexanal,True
Heptanal,CAMEL.csv,CAMEL,7.93811666666667,131,7.933,56,21838.122537291936,heptanal,True
Benzaldehyde,CAMEL.csv,CAMEL,9.3175,165,9.322,85,14181.934283515937,benzaldehyde,True
Dimethyl trisulfide,CAMEL.csv,CAMEL,9.52615132960155,172,9.542,79,364277.0911333961,dimethyltrisulfide,True
Hexanol,CAMEL.csv,CAMEL,9.76193233643763,180,9.767,60,48547.66095893358,phenol,True
Octanal,CAMEL.csv,CAMEL,10.1953,195,10.179,59,54688.43902520447,octanal,True
Hexanol,CAMEL.csv,CAMEL,10.6969,209,10.699,92,16406.109382355204,1hexanol2ethyl,True
Nonanal,CAMEL.csv,CAMEL,12.0795,253,12.102,57,14531603.968673317,nonanal,True
Decanal,CAMEL.csv,CAMEL,13.59715,297,13.587,59,82587.11975156252,dodecane,True
Decanal,CAMEL.csv,CAMEL,13.7064666666667,300,13.703,120,30974.317442355503,decanal,True
Decanal,CAMEL.csv,CAMEL,15.0408333333333,343,15.031,55,138537.20234090323,tridecane,True
Tetramethylpyrazine,CAMEL.csv,CAMEL,16.36235,386,16.349,58,230108.79586090497,tetradecane,True
Pentanal,CAMEL.csv,CAMEL,17.5906166666667,429,17.574,281,2383127.6462119306,pentadecane,True
Heptanal,CAMEL.csv,CAMEL,18.6709666666667,463,18.668,135,11124.040616104288,e15heptadecenal,True
Acetophenone,CAMEL.csv,CAMEL,19.31405,484,19.314,57,142543.3554293557,benzophenone,True
"2-Propanone, 1-methoxy-",CHOPIN.csv,CHOPIN,2.19512636665457,10,2.183,45,14569228.070960952,2propanone1methoxy,True
"Butanal, 3-methyl-",CHOPIN.csv,CHOPIN,2.89645,32,2.895,44,5004080.434853157,butanal3methyl,True
Hexanal,CHOPIN.csv,CHOPIN,5.27903333333333,89,5.289,56,1427352.6238282688,hexanal,True
Heptanal,CHOPIN.csv,CHOPIN,7.9317,131,7.933,56,18405.99339769761,heptanal,True
Benzaldehyde,CHOPIN.csv,CHOPIN,9.32181529811492,165,9.322,85,4218.812408422568,benzaldehyde,True
Dimethyl trisulfide,CHOPIN.csv,CHOPIN,9.52304469214157,172,9.542,79,410968.9947824182,dimethyltrisulfide,True
Hexanol,CHOPIN.csv,CHOPIN,9.74195,179,9.751,43,21441.406358808657,phenol,True
Octanal,CHOPIN.csv,CHOPIN,10.1921,195,10.179,59,27338.48344334798,octanal,True
Hexanol,CHOPIN.csv,CHOPIN,10.6936833333333,209,10.699,92,12453.53819756215,1hexanol2ethyl,True
Nonanal,CHOPIN.csv,CHOPIN,12.0795,253,12.102,57,15630280.380273046,nonanal,True
Decanal,CHOPIN.csv,CHOPIN,13.59715,297,13.587,59,52971.628699891226,dodecane,True
Decanal,CHOPIN.csv,CHOPIN,13.7064833333333,300,13.703,120,15356.043681242569,decanal,True
Decanal,CHOPIN.csv,CHOPIN,15.0376333333333,343,15.031,55,109145.80470768192,tridecane,True
Tetramethylpyrazine,CHOPIN.csv,CHOPIN,16.36235,386,16.349,58,149247.17489015043,tetradecane,True
1-Nonanol,CHOPIN.csv,CHOPIN,18.6709833333333,463,18.668,135,10637.13600601017,1nonadecene,True
Acetophenone,CHOPIN.csv,CHOPIN,19.3108333333333,484,19.314,57,93896.05612540676,benzophenone,True
Propanal,FELSINA.csv,FELSINA,2.01332051450488,4,2.012,64,2174962.8620285518,propene,True
"2-Propanone, 1-methoxy-",FELSINA.csv,FELSINA,2.19652489391002,11,2.208,53,543270.1857688136,2propanone1methoxy,True
Pentanal,FELSINA.csv,FELSINA,3.31448333333333,46,3.315,44,2887736.08396034,pentanal,True
Hexanal,FELSINA.csv,FELSINA,5.2855,89,5.289,56,12585599.868033491,hexanal,True
Heptanal,FELSINA.csv,FELSINA,7.93495,131,7.933,56,10010.642921497489,heptanal,True
Benzaldehyde,FELSINA.csv,FELSINA,9.31111666666667,165,9.322,85,6661.95658164975,benzaldehyde,True
Hexanol,FELSINA.csv,FELSINA,9.73876666666667,179,9.751,43,55486.69823517885,phenol,True
Octanal,FELSINA.csv,FELSINA,10.1921333333333,195,10.179,59,28847.950025837228,octanal,True
Hexanol,FELSINA.csv,FELSINA,10.6992654344065,209,10.699,92,13735.841373965295,1hexanol2ethyl,True
Octanal,FELSINA.csv,FELSINA,11.2596333333333,228,11.26,57,115239.92766214324,2octenal(e),True
Acetophenone,FELSINA.csv,FELSINA,11.45255,233,11.452,69,45185.96009009739,acetophenone,True
Nonanal,FELSINA.csv,FELSINA,12.0763333333333,253,12.102,57,11341160.568593904,nonanal,True
Decanal,FELSINA.csv,FELSINA,13.5939833333333,297,13.587,59,59852.72443325779,dodecane,True
Decanal,FELSINA.csv,FELSINA,13.7065166666667,300,13.703,120,15207.473726399909,decanal,True
Decanal,FELSINA.csv,FELSINA,15.0376666666667,343,15.031,55,111452.78023319304,tridecane,True
Tetramethylpyrazine,FELSINA.csv,FELSINA,16.3624,386,16.349,58,150847.5110221971,tetradecane,True
1-Octen-3-ol,FELSINA.csv,FELSINA,18.6710166666667,463,18.668,135,8350.410351772354,1octadecanol,True
Acetophenone,FELSINA.csv,FELSINA,19.3108833333333,484,19.314,57,100829.9074104038,benzophenone,True
Propanal,INNOVATOR.csv,INNOVATOR,2.01531666666667,4,2.012,64,1822964.9398426584,propene,True
"2-Propanone, 1-methoxy-",INNOVATOR.csv,INNOVATOR,2.20114075593465,11,2.208,53,749234.4453254156,2propanone1methoxy,True
Propanal,INNOVATOR.csv,INNOVATOR,2.35936666666667,17,2.36,72,1554827.659156286,propanal2methyl,True
