Compound Name,FileName,Variety,Component RT,Peak,tR_best,m/z,Intensity,norm_name,is_aroma
Pentanal,ALTUS.csv,ALTUS,17.5906194035185,429,17.574,281,4103986.232260642,pentadecane,True
Phenylacetaldehyde,ALTUS.csv,ALTUS,18.1578049041685,446,18.134,76,780623.0993142151,phenylmaleicanhydride,True
Ethyl pentanoate,ALTUS.csv,ALTUS,18.8092147768044,467,18.799,222,62749.443379116565,diethylphthalate,True
Acetophenone,ALTUS.csv,ALTUS,19.3103686285223,484,19.314,57,134430.38003575095,benzophenone,True
Decanal,ALTUS.csv,ALTUS,19.7740529029603,501,19.772,138,49683.90050392577,1dodecanol,True
"2-Propanone, 1-methoxy-",ARDECHE.csv,ARDECHE,2.18598333333333,10,2.183,45,16101896.953368053,2propanone1methoxy,True
"Butanal, 3-methyl-",ARDECHE.csv,ARDECHE,2.90301666666667,32,2.895,44,1805478.76348468,butanal3methyl,True
Hexanal,ARDECHE.csv,ARDECHE,5.2888,89,5.289,56,1407554.401908323,hexanal,True
Benzaldehyde,ARDECHE.csv,ARDECHE,9.31765,165,9.322,85,20162.783119635547,benzaldehyde,True
Dimethyl trisulfide,ARDECHE.csv,ARDECHE,9.52663333333333,172,9.542,79,228780.4134328169,dimethyltrisulfide,True
Hexanol,ARDECHE.csv,ARDECHE,9.76136666666667,180,9.767,60,93378.87121309128,phenol,True
Octanal,ARDECHE.csv,ARDECHE,10.1954333333333,195,10.179,59,21537.6030814458,octanal,True
Hexanol,ARDECHE.csv,ARDECHE,10.6970333333333,209,10.699,92,17209.034187899055,1hexanol2ethyl,True
Nonanal,ARDECHE.csv,ARDECHE,12.0796333333333,253,12.102,57,17192421.49634161,nonanal,True
Decanal,ARDECHE.csv,ARDECHE,13.5972833333333,297,13.587,59,82515.89821685787,dodecane,True
Decanal,ARDECHE.csv,ARDECHE,13.7066,300,13.703,120,24570.079773455647,decanal,True
Decanal,ARDECHE.csv,ARDECHE,15.0377666666667,343,15.031,55,138927.25429567363,tridecane,True
Tetramethylpyrazine,ARDECHE.csv,ARDECHE,16.3624833333333,386,16.349,58,145299.10015261042,tetradecane,True
1-Nonanol,ARDECHE.csv,ARDECHE,18.6711166666667,463,18.668,135,10461.773548177183,1nonadecene,True
Acetophenone,ARDECHE.csv,ARDECHE,19.3109666666667,484,19.314,57,74326.75322694489,benzophenone,True
"2-Propanone, 1-methoxy-",EL MUNDO.csv,EL MUNDO,2.18595,10,2.183,45,13011018.01870202,2propanone1methoxy,True
"Butanal, 3-methyl-",EL MUNDO.csv,EL MUNDO,2.89976666666667,32,2.895,44,2572608.89259786,butanal3methyl,True
Heptanal,EL MUNDO.csv,EL MUNDO,7.93821666666667,131,7.933,56,21871.961304332508,heptanal,True
Benzaldehyde,EL MUNDO.csv,EL MUNDO,9.31914398605512,165,9.322,85,10004.20828222197,benzaldehyde,True
Hexanol,EL MUNDO.csv,EL MUNDO,9.75058248820868,179,9.751,43,114585.29946767497,phenol,True
Octanal,EL MUNDO.csv,EL MUNDO,10.1954,195,10.179,59,69811.86577484453,octanal,True
Hexanol,EL MUNDO.csv,EL MUNDO,10.697,209,10.699,92,24115.842904330333,1hexanol2ethyl,True
Acetophenone,EL MUNDO.csv,EL MUNDO,11.4526,233,11.452,69,119544.12584780574,acetophenone,True
Nonanal,EL MUNDO.csv,EL MUNDO,12.0796,253,12.102,57,14193079.794714317,nonanal,True
Decanal,EL MUNDO.csv,EL MUNDO,13.7097833333333,300,13.703,120,76813.41313427023,decanal,True
"2-Propanone, 1-methoxy-",EL MUNDO.csv,EL MUNDO,14.2596166666667,317,14.247,88,571607.0341179952,2propanol1(2butoxy1methylethoxy),True
Tetramethylpyrazine,EL MUNDO.csv,EL MUNDO,16.3592333333333,386,16.349,58,166813.25371619005,tetradecane,True
Phenylacetaldehyde,EL MUNDO.csv,EL MUNDO,18.1566166666667,446,18.134,76,508951.28956391127,phenylmaleicanhydride,True
Acetophenone,EL MUNDO.csv,EL MUNDO,19.3109333333333,484,19.314,57,107087.36295068768,benzophenone,True
"2-Propanone, 1-methoxy-",FABULA.csv,FABULA,2.1892,10,2.183,45,15662548.446820589,2propanone1methoxy,True
"Butanal, 3-methyl-",FABULA.csv,FABULA,2.8998,32,2.895,44,4979893.735217151,butanal3methyl,True
Hexanal,FABULA.csv,FABULA,5.28558333333333,89,5.289,56,1896646.050887348,hexanal,True
Heptanal,FABULA.csv,FABULA,7.93825,131,7.933,56,25041.595835762728,heptanal,True
Benzaldehyde,FABULA.csv,FABULA,9.32097292960808,165,9.322,85,8593.389515006305,benzaldehyde,True
Dimethyl trisulfide,FABULA.csv,FABULA,9.52663333333333,172,9.542,79,118194.54847758348,dimethyltrisulfide,True
Hexanol,FABULA.csv,FABULA,9.75171666666667,179,9.751,43,73191.78916384245,phenol,True
Octanal,FABULA.csv,FABULA,10.19865,196,10.218,43,2758525.7225620663,octanal,True
Hexanol,FABULA.csv,FABULA,10.6970333333333,209,10.699,92,11472.834183194082,1hexanol2ethyl,True
Acetophenone,FABULA.csv,FABULA,11.4526333333333,233,11.452,69,134356.75541548518,acetophenone,True
Nonanal,FABULA.csv,FABULA,12.0796333333333,253,12.102,57,19527090.253795136,nonanal,True
Hexanoic acid,FABULA.csv,FABULA,13.5104666666667,294,13.497,57,937309.7482000946,benzoicacid,True
Decanal,FABULA.csv,FABULA,13.7098166666667,300,13.703,120,50455.19842762174,decanal,True
Tetramethylpyrazine,FABULA.csv,FABULA,16.3592666666667,386,16.349,58,143136.28810780536,tetradecane,True
Phenylacetaldehyde,FABULA.csv,FABULA,18.1598666666667,447,18.182,51,378391.31194770266,phenylmaleicanhydride,True
Acetophenone,FABULA.csv,FABULA,19.3109666666667,484,19.314,57,81651.4636043051,benzophenone,True
"2-Propanone, 1-methoxy-",FONTANE.csv,FONTANE,2.18915,10,2.183,45,14874536.743935514,2propanone1methoxy,True
"Butanal, 3-methyl-",FONTANE.csv,FONTANE,2.89975,32,2.895,44,2272115.8210586924,butanal3methyl,True
Pentanal,FONTANE.csv,FONTANE,3.31773333333333,46,3.315,44,965528.426450969,pentanal,True
Heptanal,FONTANE.csv,FONTANE,7.9382,131,7.933,56,24744.254204165845,heptanal,True
Benzaldehyde,FONTANE.csv,FONTANE,9.31436666666667,165,9.322,85,20453.492200391967,benzaldehyde,True
Hexanol,FONTANE.csv,FONTANE,9.75973787207525,180,9.767,60,240652.70246736237,phenol,True
Hexanol,FONTANE.csv,FONTANE,10.7034,209,10.699,92,32295.299649077788,1hexanol2ethyl,True
Nonanal,FONTANE.csv,FONTANE,12.0828,253,12.102,57,18520273.51763455,nonanal,True
Decanal,FONTANE.csv,FONTANE,13.7097666666667,300,13.703,120,172418.6441134792,decanal,True
Ethanol,FONTANE.csv,FONTANE,13.9862833333333,308,13.989,57,850177.1489240789,ethanol2phenoxy,True
"2-Propanone, 1-methoxy-",FONTANE.csv,FONTANE,14.2595833333333,317,14.247,88,3676377.655233823,2propanol1(2butoxy1methylethoxy),True
"2-Propanone, 1-methoxy-",FONTANE.csv,FONTANE,14.3303333333333,320,14.343,71,592038.6456414731,2propanol1(2butoxy1methylethoxy),True
Methyl butanoate,FONTANE.csv,FONTANE,15.4975,358,15.494,87,508551.04068778665,methyl8oxooctanoate,True
Decanal,FONTANE.csv,FONTANE,17.3013166666667,419,17.295,104,136427.9846104511,ntridecan1ol,True
Decanal,FONTANE.csv,FONTANE,18.4942166666667,458,18.497,105,955512.783543664,ntridecan1ol,True
1-Octen-3-ol,FONTANE.csv,FONTANE,18.6742666666667,463,18.668,135,12956.796890640158,1octadecanol,True
Acetophenone,FONTANE.csv,FONTANE,19.32055,484,19.314,57,315516.7526423105,benzophenone,True
3-Heptanone,FONTANE.csv,FONTANE,19.8478833333333,504,19.865,57,8195262.394312523,heptadecane,True
Octanoic acid,FONTANE.csv,FONTANE,20.49095,524,20.481,60,3404619.0080800955,tetradecanoicacid,True
"Butanal, 3-methyl-",JENNIFER.csv,JENNIFER,2.89968333333333,32,2.895,44,3987444.836926494,butanal3methyl,True
Hexanal,JENNIFER.csv,JENNIFER,5.28602461772753,89,5.289,56,1061394.317579012,hexanal,True
Heptanal,JENNIFER.csv,JENNIFER,7.93491666666667,131,7.933,56,21476.31709836054,heptanal,True
Benzaldehyde,JENNIFER.csv,JENNIFER,9.31431666666667,165,9.322,85,17903.618174275733,benzaldehyde,True
Hexanol,JENNIFER.csv,JENNIFER,9.7516,179,9.751,43,91081.17858845188,phenol,True
Hexanol,JENNIFER.csv,JENNIFER,10.7001333333333,209,10.699,92,19376.12998850376,1hexanol2ethyl,True
Acetophenone,JENNIFER.csv,JENNIFER,11.452730916164,233,11.452,69,167838.65258528342,acetophenone,True
Nonanal,JENNIFER.csv,JENNIFER,12.0793095892,253,12.102,57,18437714.067772847,nonanal,True
Decanal,JENNIFER.csv,JENNIFER,13.7064833333333,300,13.703,120,169964.8124659939,decanal,True
Ethanol,JENNIFER.csv,JENNIFER,13.9862166666667,308,13.989,57,674457.0276629976,ethanol2phenoxy,True
"2-Propanone, 1-methoxy-",JENNIFER.csv,JENNIFER,14.2627333333333,317,14.247,88,1351292.2853249577,2propanol1(2butoxy1methylethoxy),True
"2-Propanone, 1-methoxy-",JENNIFER.csv,JENNIFER,14.3334833333333,320,14.343,71,702059.5898876663,2propanol1(2butoxy1methylethoxy),True
Tetramethylpyrazine,JENNIFER.csv,JENNIFER,16.3623666666667,386,16.349,58,619441.6487340627,tetradecane,True
Decanal,JENNIFER.csv,JENNIFER,17.30125,419,17.295,104,100319.54888790802,ntridecan1ol,True
Phenylacetaldehyde,JENNIFER.csv,JENNIFER,18.15975,447,18.182,51,619483.493753771,phenylmaleicanhydride,True
Decanal,JENNIFER.csv,JENNIFER,18.49415,458,18.497,105,527448.2587681623,ntridecan1ol,True
1-Nonanol,JENNIFER.csv,JENNIFER,18.6742,463,18.668,135,11428.462107300482,1nonadecene,True
Acetophenone,JENNIFER.csv,JENNIFER,19.3140666666667,484,19.314,57,400856.2521618329,benzophenone,True
3-Heptanone,JENNIFER.csv,JENNIFER,19.8478166666667,504,19.865,57,6505736.561723656,heptadecane,True
"2-Propanone, 1-methoxy-",RED SCARLETT.csv,RED SCARLETT,2.19455904343607,10,2.183,45,14943274.517721832,2propanone1methoxy,True
"Butanal, 3-methyl-",RED SCARLETT.csv,RED SCARLETT,2.89968333333333,32,2.895,44,5633351.522850827,butanal3methyl,True
Hexanal,RED SCARLETT.csv,RED SCARLETT,5.28548333333333,89,5.289,56,1648968.5490971804,hexanal,True
Benzaldehyde,RED SCARLETT.csv,RED SCARLETT,9.31431666666667,165,9.322,85,43176.427936433865,benzaldehyde,True
Hexanol,RED SCARLETT.csv,RED SCARLETT,9.76740865030707,180,9.767,60,142629.57972993632,phenol,True
Hexanol,RED SCARLETT.csv,RED SCARLETT,10.70335,209,10.699,92,19889.9215128193,1hexanol2ethyl,True
Acetophenone,RED SCARLETT.csv,RED SCARLETT,11.4600365751609,233,11.452,69,142310.7659698231,acetophenone,True
Nonanal,RED SCARLETT.csv,RED SCARLETT,12.0827333333333,253,12.102,57,17815689.687597733,nonanal,True
Decanal,RED SCARLETT.csv,RED SCARLETT,13.5971666666667,297,13.587,59,84032.62966053636,dodecane,True
Decanal,RED SCARLETT.csv,RED SCARLETT,13.7097166666667,300,13.703,120,23861.263693590747,decanal,True
Ethanol,RED SCARLETT.csv,RED SCARLETT,13.9862333333333,308,13.989,57,175340.0170946155,ethanol2phenoxy,True
"2-Propanone, 1-methoxy-",RED SCARLETT.csv,RED SCARLETT,14.26275,317,14.247,88,893794.8322480967,2propanol1(2butoxy1methylethoxy),True
"2-Propanone, 1-methoxy-",RED SCARLETT.csv,RED SCARLETT,14.3302666666667,320,14.343,71,363056.5400098826,2propanol1(2butoxy1methylethoxy),True
Methyl butanoate,RED SCARLETT.csv,RED SCARLETT,15.49745,358,15.494,87,64507.10656684227,methyl8oxooctanoate,True
Decanal,RED SCARLETT.csv,RED SCARLETT,17.29805,419,17.295,104,26497.66423955012,ntridecan1ol,True
Decanal,RED SCARLETT.csv,RED SCARLETT,18.4909333333333,458,18.497,105,88568.81083182812,ntridecan1ol,True
1-Octen-3-ol,RED SCARLETT.csv,RED SCARLETT,18.6742166666667,463,18.668,135,11115.264256734235,1octadecanol,True
Acetophenone,RED SCARLETT.csv,RED SCARLETT,19.3205,484,19.314,57,78138.21452492644,benzophenone,True
3-Heptanone,RED SCARLETT.csv,RED SCARLETT,19.8446,503,19.827,197,116336.17914415762,heptadecane,True
"2-Propanone, 1-methoxy-",RUSSET BURBANK.csv,RUSSET BURBANK,2.19407061122706,10,2.183,45,16201908.07361238,2propanone1methoxy,True
Hexanol,RUSSET BURBANK.csv,RUSSET BURBANK,2.52016666666667,22,2.518,45,2833501.685106439,nhexane,True
"Butanal, 3-methyl-",RUSSET BURBANK.csv,RUSSET BURBANK,2.9028,32,2.895,44,2553703.1114815217,butanal3methyl,True
Hexanal,RUSSET BURBANK.csv,RUSSET BURBANK,5.28858333333333,89,5.289,56,1249895.288910002,hexanal,True
Benzaldehyde,RUSSET BURBANK.csv,RUSSET BURBANK,9.32748539665016,165,9.322,85,11298.758754928154,benzaldehyde,True
Dimethyl trisulfide,RUSSET BURBANK.csv,RUSSET BURBANK,9.52641666666667,172,9.542,79,301151.7227324973,dimethyltrisulfide,True
Hexanol,RUSSET BURBANK.csv,RUSSET BURBANK,9.76436666666667,180,9.767,60,190083.14987625385,phenol,True
Octanal,RUSSET BURBANK.csv,RUSSET BURBANK,10.1984333333333,195,10.179,59,22512.15454955852,octanal,True
Hexanol,RUSSET BURBANK.csv,RUSSET BURBANK,10.699196413952,209,10.699,92,20291.39271332988,1hexanol2ethyl,True
Acetophenone,RUSSET BURBANK.csv,RUSSET BURBANK,11.45885,233,11.452,69,157511.25053907142,acetophenone,True
Nonanal,RUSSET BURBANK.csv,RUSSET BURBANK,12.0794166666667,253,12.102,57,19288147.2447257,nonanal,True
Decanal,RUSSET BURBANK.csv,RUSSET BURBANK,13.5970666666667,297,13.587,59,91057.4926769966,dodecane,True
Decanal,RUSSET BURBANK.csv,RUSSET BURBANK,13.7096,300,13.703,120,26793.28986717708,decanal,True
Decanal,RUSSET BURBANK.csv,RUSSET BURBANK,15.04075,343,15.031,55,152214.80613358223,tridecane,True
Tetramethylpyrazine,RUSSET BURBANK.csv,RUSSET BURBANK,16.3622666666667,386,16.349,58,272366.0046043363,tetradecane,True
1-Nonanol,RUSSET BURBANK.csv,RUSSET BURBANK,18.6709,463,18.668,135,12961.427175450985,1nonadecene,True
Acetophenone,RUSSET BURBANK.csv,RUSSET BURBANK,19.3139666666667,484,19.314,57,171081.12139325557,benzophenone,True
"2-Propanone, 1-methoxy-",SUNDANCE.csv,SUNDANCE,2.18583333333333,10,2.183,45,15849079.604784189,2propanone1methoxy,True
"Butanal, 3-methyl-",SUNDANCE.csv,SUNDANCE,2.89965,32,2.895,44,3340858.273058773,butanal3methyl,True
Hexanal,SUNDANCE.csv,SUNDANCE,5.28587025637822,89,5.289,56,1059158.776676329,hexanal,True
Benzaldehyde,SUNDANCE.csv,SUNDANCE,9.32185902703024,165,9.322,85,13879.644832878836,benzaldehyde,True
Dimethyl trisulfide,SUNDANCE.csv,SUNDANCE,9.52328333333333,172,9.542,79,221656.137709327,dimethyltrisulfide,True
Hexanol,SUNDANCE.csv,SUNDANCE,9.76697361869027,180,9.767,60,89029.04022194263,phenol,True
Octanal,SUNDANCE.csv,SUNDANCE,10.1952833333333,195,10.179,59,31655.27215918099,octanal,True
Hexanol,SUNDANCE.csv,SUNDANCE,10.7065333333333,209,10.699,92,17991.943946106847,1hexanol2ethyl,True
Acetophenone,SUNDANCE.csv,SUNDANCE,11.4589166666667,233,11.452,69,145393.9940094905,acetophenone,True
Nonanal,SUNDANCE.csv,SUNDANCE,12.0794833333333,253,12.102,57,13552678.893455956,nonanal,True
Hexanoic acid,SUNDANCE.csv,SUNDANCE,13.2402333333333,286,13.243,78,135753.56710283516,benzoicacid,True
Decanal,SUNDANCE.csv,SUNDANCE,13.5939166666667,297,13.587,59,106427.45241219584,dodecane,True
Decanal,SUNDANCE.csv,SUNDANCE,13.70645,300,13.703,120,20996.58242862444,decanal,True
Decanal,SUNDANCE.csv,SUNDANCE,15.0376166666667,343,15.031,55,135988.32719713915,tridecane,True
Tetramethylpyrazine,SUNDANCE.csv,SUNDANCE,16.3591166666667,386,16.349,58,312264.0855620256,tetradecane,True
1-Nonanol,SUNDANCE.csv,SUNDANCE,18.6709666666667,463,18.668,135,13244.411636526553,1nonadecene,True
Acetophenone,SUNDANCE.csv,SUNDANCE,19.3108166666667,484,19.314,57,197827.62473174132,benzophenone,True
Isoamyl acetate,SUNDANCE.csv,SUNDANCE,23.02455,615,23.031,77,416382.217945942,isopropylpalmitate,True
"Butanal, 3-methyl-",ALTURAS.csv,ALTURAS,2.89,32,2.895,44,1146548.5521852446,butanal3methyl,True
Hexanal,ALTURAS.csv,ALTURAS,5.26537091332493,88,5.263,67,50633.268086495125,hexanal,True
Heptanal,ALTURAS.csv,ALTURAS,7.92201666666667,130,7.913,57,83795.46174711816,heptanal,True
Benzaldehyde,ALTURAS.csv,ALTURAS,9.31634427188598,165,9.322,85,16639.394618570535,benzaldehyde,True
Octanal,ALTURAS.csv,ALTURAS,10.18885,195,10.179,59,100774.26922097582,octanal,True
Hexanol,ALTURAS.csv,ALTURAS,10.7000833333333,209,10.699,92,25678.341552422025,1hexanol2ethyl,True
Nonanal,ALTURAS.csv,ALTURAS,12.0762666666667,253,12.102,57,17715130.905323684,nonanal,True
Tetramethylpyrazine,ALTURAS.csv,ALTURAS,12.6775333333333,268,12.671,70,1827852.9453911388,tetradecane,True
Decanal,ALTURAS.csv,ALTURAS,13.70645,300,13.703,120,40870.661520132366,decanal,True
Decanal,ALTURAS.csv,ALTURAS,15.0343833333333,343,15.031,55,416744.6112701772,ntridecan1ol,True
Pentanal,ALTURAS.csv,ALTURAS,15.6485166666667,364,15.665,71,5011354.041313884,pentadecane,True
1-Heptanol,ALTURAS.csv,ALTURAS,17.2915666666667,419,17.295,104,84377.86422798045,1tetradecanol,True
Acetophenone,ALTURAS.csv,ALTURAS,18.2047333333333,448,18.208,103,3357859.765751041,benzophenone,True
Acetophenone,ALTURAS.csv,ALTURAS,19.3108166666667,484,19.314,57,68095.52249647713,benzophenone,True
"Butanal, 3-methyl-",ALTURAS.csv,ALTURAS,20.57445,527,20.567,85,552430.792366039,heptadecane3methyl,True
3-Octanone,ALTURAS.csv,ALTURAS,20.8670333333333,537,20.855,41,744109.1932951622,octadecane,True
2-Isopropyl-3-methoxypyrazine,ALTURAS.csv,ALTURAS,21.1242666666667,546,21.114,99,1124214.8145079713,isopropylmyristate,True
2-Nonanone,ALTURAS.csv,ALTURAS,21.8573666666667,574,21.846,139,56252.58333310396,nonadecane,True
"Butanal, 3-methyl-",BARAKA.csv,BARAKA,2.89933333333333,32,2.895,44,4109835.659018261,butanal3methyl,True
Heptanal,BARAKA.csv,BARAKA,7.93778333333333,131,7.933,56,29157.54605981808,heptanal,True
Benzaldehyde,BARAKA.csv,BARAKA,9.3236,165,9.322,85,11165.233553250006,benzaldehyde,True
Dimethyl trisulfide,BARAKA.csv,BARAKA,9.52616666666667,172,9.542,79,252857.45098948,dimethyltrisulfide,True
Hexanol,BARAKA.csv,BARAKA,9.77696666666667,180,9.767,60,31349.184176604344,phenol,True
Octanal,BARAKA.csv,BARAKA,10.1949666666667,195,10.179,59,38948.42645589943,octanal,True
Hexanol,BARAKA.csv,BARAKA,10.6997833333333,209,10.699,92,11465.571948957328,1hexanol2ethyl,True
Nonanal,BARAKA.csv,BARAKA,12.0791666666667,253,12.102,57,18332423.9354097,nonanal,True
Decanal,BARAKA.csv,BARAKA,13.7061333333333,300,13.703,120,21913.111608197312,decanal,True
Acetophenone,BARAKA.csv,BARAKA,19.3137166666667,484,19.314,57,64550.57252020072,benzophenone,True
Hexanal,ESCORT.csv,ESCORT,5.28538333333333,89,5.289,56,1398127.01009505,hexanal,True
Benzaldehyde,ESCORT.csv,ESCORT,9.32892016378202,165,9.322,85,13909.697059642614,benzaldehyde,True
Octanal,ESCORT.csv,ESCORT,10.1952333333333,195,10.179,59,36007.81572002378,octanal,True
Hexanol,ESCORT.csv,ESCORT,10.7000093678896,209,10.699,92,12757.19773159762,1hexanol2ethyl,True
Nonanal,ESCORT.csv,ESCORT,12.079641957215,253,12.102,57,12860373.188712984,nonanal,True
Decanal,ESCORT.csv,ESCORT,13.7064,300,13.703,120,28619.90281544213,decanal,True
Acetophenone,ESCORT.csv,ESCORT,19.3139833333333,484,19.314,57,70885.25120963693,benzophenone,True
"2-Propanone, 1-methoxy-",FRISIA.csv,FRISIA,2.19472634501156,10,2.183,45,14563711.03422402,2propanone1methoxy,True
"Butanal, 3-methyl-",FRISIA.csv,FRISIA,2.8998,32,2.895,44,3133959.6653253976,butanal3methyl,True
Pentanal,FRISIA.csv,FRISIA,3.31458333333333,46,3.315,44,1283015.442795545,pentanal,True
Hexanal,FRISIA.csv,FRISIA,5.28238333333333,89,5.289,56,1886303.6308029492,hexanal,True
Furfural,FRISIA.csv,FRISIA,6.2084,98,6.221,39,58968.22398349181,furfural,True
Benzaldehyde,FRISIA.csv,FRISIA,9.32308370222696,165,9.322,85,22097.07036542126,benzaldehyde,True
Hexanol,FRISIA.csv,FRISIA,10.7034666666667,209,10.699,92,27030.550636830685,1hexanol2ethyl,True
Acetophenone,FRISIA.csv,FRISIA,11.4622833333333,233,11.452,69,208436.26167025007,acetophenone,True
Nonanal,FRISIA.csv,FRISIA,12.08285,253,12.102,57,21098957.537776116,nonanal,True
Decanal,FRISIA.csv,FRISIA,13.5972833333333,297,13.587,59,342501.99218804215,dodecane,True
Decanal,FRISIA.csv,FRISIA,13.7066,300,13.703,120,221184.8853660548,decanal,True
Ethanol,FRISIA.csv,FRISIA,13.98955,308,13.989,57,1011484.0448015044,ethanol2phenoxy,True
"2-Propanone, 1-methoxy-",FRISIA.csv,FRISIA,14.25965,317,14.247,88,3524733.5550550167,2propanol1(2butoxy1methylethoxy),True
"2-Propanone, 1-methoxy-",FRISIA.csv,FRISIA,14.3271666666667,319,14.317,59,12821460.683644269,2propanol1(2butoxy1methylethoxy),True
Methyl butanoate,FRISIA.csv,FRISIA,15.49755,358,15.494,87,737985.9421028435,methyl8oxooctanoate,True
Decanal,FRISIA.csv,FRISIA,17.2949333333333,419,17.295,104,138137.20753173006,ntridecan1ol,True
Decanal,FRISIA.csv,FRISIA,18.4942666666667,458,18.497,105,1108313.8542135064,ntridecan1ol,True
1-Octen-3-ol,FRISIA.csv,FRISIA,18.6743333333333,463,18.668,135,17482.761645766583,1octadecanol,True
Acetophenone,FRISIA.csv,FRISIA,19.3174,484,19.314,57,528171.6831664516,benzophenone,True
"Butanal, 3-methyl-",MARILYN.csv,MARILYN,2.90285,32,2.895,44,2975376.227606703,butanal3methyl,True
"Butanal, 3-methyl-",MARILYN.csv,MARILYN,3.37871666666667,47,3.38,81,1197344.1601830446,furan2ethyl,True
Hexanal,MARILYN.csv,MARILYN,5.28541666666667,89,5.289,56,12381992.394837966,hexanal,True
Benzaldehyde,MARILYN.csv,MARILYN,9.3216838425512,165,9.322,85,33568.76554010118,benzaldehyde,True
Hexanol,MARILYN.csv,MARILYN,10.7065166666667,209,10.699,92,45185.129109039735,1hexanol2ethyl,True
Nonanal,MARILYN.csv,MARILYN,12.0826833333333,253,12.102,57,21252554.62376773,nonanal,True
Decanal,MARILYN.csv,MARILYN,13.5971166666667,297,13.587,59,325246.5568268775,dodecane,True
Decanal,MARILYN.csv,MARILYN,13.70965,300,13.703,120,247043.06355458623,decanal,True
"2-Propanone, 1-methoxy-",MARILYN.csv,MARILYN,14.2626833333333,317,14.247,88,4024718.0348284175,2propanol1(2butoxy1methylethoxy),True
"2-Propanone, 1-methoxy-",MARILYN.csv,MARILYN,14.3302166666667,320,14.343,71,688521.7886567547,2propanol1(2butoxy1methylethoxy),True
Methyl butanoate,MARILYN.csv,MARILYN,15.5006,358,15.494,87,545434.6561907628,methyl8oxooctanoate,True
Decanal,MARILYN.csv,MARILYN,17.2979833333333,419,17.295,104,144775.9646998434,ntridecan1ol,True
Decanal,MARILYN.csv,MARILYN,18.4941,458,18.497,105,1032980.4691911506,ntridecan1ol,True
1-Octen-3-ol,MARILYN.csv,MARILYN,18.67415,463,18.668,135,18915.71198469118,1octadecanol,True
Acetophenone,MARILYN.csv,MARILYN,19.3172333333333,484,19.314,57,577439.0315654239,benzophenone,True
3-Heptanone,MARILYN.csv,MARILYN,19.8477666666667,504,19.865,57,9850003.7745663,heptadecane,True
"2-Propanone, 1-methoxy-",ORIANA.csv,ORIANA,2.18895,10,2.183,45,15906818.10485438,2propanone1methoxy,True
"Butanal, 3-methyl-",ORIANA.csv,ORIANA,2.90276666666667,32,2.895,44,4878545.57773314,butanal3methyl,True
Hexanal,ORIANA.csv,ORIANA,5.29123761276764,89,5.289,56,1228752.34933676,hexanal,True
Benzaldehyde,ORIANA.csv,ORIANA,9.33120891124663,165,9.322,85,3129.2938343315354,benzaldehyde,True
Dimethyl trisulfide,ORIANA.csv,ORIANA,9.5296,172,9.542,79,116460.69545609388,dimethyltrisulfide,True
Octanal,ORIANA.csv,ORIANA,10.2016166666667,196,10.218,43,1310821.9105648932,octanal,True
Hexanol,ORIANA.csv,ORIANA,10.7032166666667,209,10.699,92,11010.206222978042,1hexanol2ethyl,True
Nonanal,ORIANA.csv,ORIANA,12.0826,253,12.102,57,11083412.79842807,nonanal,True
Decanal,ORIANA.csv,ORIANA,13.60025,297,13.587,59,58625.98629862065,dodecane,True
Decanal,ORIANA.csv,ORIANA,13.7127833333333,300,13.703,120,17171.09330999815,decanal,True
Decanal,ORIANA.csv,ORIANA,15.0407166666667,343,15.031,55,149802.54874766478,tridecane,True
Tetramethylpyrazine,ORIANA.csv,ORIANA,16.3622333333333,386,16.349,58,261358.36672841167,tetradecane,True
1-Nonanol,ORIANA.csv,ORIANA,18.67085,463,18.668,135,11007.923003551105,1nonadecene,True
Acetophenone,ORIANA.csv,ORIANA,19.31715,484,19.314,57,134772.115260134,benzophenone,True
"2-Propanone, 1-methoxy-",SAGITTA.csv,SAGITTA,2.18888333333333,10,2.183,45,15789596.366662825,2propanone1methoxy,True
"Butanal, 3-methyl-",SAGITTA.csv,SAGITTA,2.89948333333333,32,2.895,44,3244203.1769012604,butanal3methyl,True
Hexanal,SAGITTA.csv,SAGITTA,5.28452296022289,89,5.289,56,1743419.182767206,hexanal,True
Heptanal,SAGITTA.csv,SAGITTA,7.93793333333333,131,7.933,56,23007.486527268386,heptanal,True
Benzaldehyde,SAGITTA.csv,SAGITTA,9.32171998073253,165,9.322,85,29277.84461801107,benzaldehyde,True
Hexanol,SAGITTA.csv,SAGITTA,10.70315,209,10.699,92,34578.40348737253,1hexanol2ethyl,True
Nonanal,SAGITTA.csv,SAGITTA,12.0825333333333,253,12.102,57,22812952.032224327,nonanal,True
Decanal,SAGITTA.csv,SAGITTA,13.5969666666667,297,13.587,59,373583.84381142986,dodecane,True
Decanal,SAGITTA.csv,SAGITTA,13.7095,300,13.703,120,243342.0813468629,decanal,True
Ethanol,SAGITTA.csv,SAGITTA,13.9860166666667,308,13.989,57,1186504.4033326504,ethanol2phenoxy,True
"2-Propanone, 1-methoxy-",SAGITTA.csv,SAGITTA,14.26255,317,14.247,88,3876331.947199064,2propanol1(2butoxy1methylethoxy),True
"2-Propanone, 1-methoxy-",SAGITTA.csv,SAGITTA,14.3300666666667,320,14.343,71,619084.7284258666,2propanol1(2butoxy1methylethoxy),True
